tweet_id,retweet_count,favorite_count
892420643555336193,6981,33730
892177421306343426,5281,29261
891815181378084864,3468,21992
891689557279858688,7202,36833
891327558926688256,7724,35219
891087950875897856,2590,17764
890971913173991426,1649,10342
890729181411237888,15699,56712
890609185150312448,3606,24460
890240255349198849,6084,27881
890006608113172480,6123,26976
889880896479866881,4145,24505
889665388333682689,8314,41923
889638837579907072,3702,23605
889531135344209921,1875,13317
889278841981685760,4428,22054
888917238123831296,3748,25552
888804989199671297,3518,22403
888554962724278272,2868,17272
888078434458587136,2888,19118
887705289381826560,4522,26551
887517139158093824,9821,40622
887473957103951883,14977,60043
887343217045368832,8790,29522
887101392804085760,4975,26920
886983233522544640,6294,30284
886736880519319552,2621,10469
886680336477933568,3724,19678
886366144734445568,2616,18505
886267009285017600,4,105
886258384151887873,5261,24465
886054160059072513,93,0
885984800019947520,5593,28531
885528943205470208,5312,31521
885518971528720385,3100,17962
885311592912609280,15390,0
885167619883638784,3656,19204
884925521741709313,14963,67115
884876753390489601,4649,24327
884562892145688576,3898,21268
884441805382717440,4780,23810
884247878851493888,16852,63091
884162670584377345,2496,17907
883838122936631299,2850,19116
883482846933004288,8233,40097
883360690899218434,3061,19901
883117836046086144,5514,32427
882992080364220416,3232,20934
882762694511734784,4082,24728
882627270321602560,5047,24543
882268110199369728,9595,39089
882045870035918850,4070,25660
881906580714921986,2842,21400
881666595344535552,8924,44439
881633300179243008,8,113
881536004380872706,13360,43338
881268444196462592,4487,20446
880935762899988482,2329,15015
880872448815771648,3193,18678
880465832366813184,5198,24965
880221127280381952,3455,23605
880095782870896641,3639,24270
879862464715927552,2916,19662
879674319642796034,9,282
879492040517615616,2623,20662
879415818425184262,37317,92625
879376492567855104,2637,14827
879130579576475649,5717,0
879050749262655488,3941,19771
879008229531029506,2233,16747
878776093423087618,3422,17099
878604707211726852,5907,26378
878404777348136964,1074,0
878316110768087041,5509,0
878281511006478336,1074,6765
878057613040115712,5717,37066
877736472329191424,15753,69116
877611172832227328,70,0
877556246731214848,3158,19853
877316821321428993,4328,24089
877201837425926144,4609,23818
876838120628539392,2796,18183
876537666061221889,3963,21011
876484053909872640,1992,16526
876120275196170240,3893,24638
875747767867523072,3573,22055
875144289856114688,4137,19385
875097192612077568,5102,24195
875021211251597312,3958,22506
874680097055178752,3910,24549
874434818259525634,12173,0
874296783580663808,3472,22911
874057562936811520,3370,20071
874012996292530176,8565,30046
873580283840344065,3334,21339
873337748698140672,1326,0
873213775632977920,1326,6309
872967104147763200,4546,24011
872820683541237760,3160,13048
872620804844003328,3059,18288
872486979161796608,7695,36032
872122724285648897,6812,30144
871879754684805121,9213,33007
871762521631449091,2959,17844
871515927908634625,2928,17859
871166179821445120,4880,0
871102520638267392,4662,18504
871032628920680449,3215,20117
870804317367881728,5269,29727
870726314365509632,3,105
870656317836468226,2195,10872
870374049280663552,22686,73798
870308999962521604,3539,19443
870063196459192321,7056,32334
869772420881756160,8666,37926
869702957897576449,5367,24995
869596645499047938,2630,14161
869227993411051520,3191,18098
868880397819494401,12216,57821
868639477480148993,1745,0
868622495443632128,4449,23598
868552278524837888,1745,8949
867900495410671616,3556,21558
867774946302451713,6234,30214
867421006826221569,2110,14319
867072653475098625,101,0
867051520902168576,6762,28652
866720684873056260,4124,17827
866686824827068416,2959,17085
866450705531457537,30097,108621
866334964761202691,12173,46478
866094527597207552,7143,0
865718153858494464,4826,22877
865359393868664832,4275,23555
865006731092295680,6644,24996
864873206498414592,7484,28788
864279568663928832,2573,13048
864197398364647424,7563,26591
863907417377173506,3581,18401
863553081350529029,3619,13647
863471782782697472,2089,0
863432100342583297,4545,21254
863427515083354112,80,1956
863079547188785154,951,7884
863062471531167744,2089,7513
862831371563274240,4450,17195
862722525377298433,3082,15313
862457590147678208,4233,18240
862096992088072192,19929,66130
861383897657036800,9241,32223
861288531465048066,3579,15322
861005113778896900,3323,14966
860981674716409858,1852,0
860924035999428608,676,0
860563773140209665,1852,6714
860524505164394496,4591,21212
860276583193509888,3060,16552
860184849394610176,5109,14985
860177593139703809,26656,0
859924526012018688,3575,17601
859851578198683649,3063,13957
859607811541651456,1361,16807
859196978902773760,26198,80376
859074603037188101,11933,30372
858860390427611136,7064,0
858843525470990336,3020,14099
858471635011153920,4247,19443
858107933456039936,2536,14210
857989990357356544,2262,14471
857746408056729600,9325,30750
857393404942143489,1438,5298
857263160327368704,3966,18218
857214891891077121,16,203
857062103051644929,146,0
857029823797047296,3479,17019
856543823941562368,2540,14807
856526610513747968,1651,10806
856288084350160898,15,488
856282028240666624,5568,25191
855862651834028034,21,303
855860136149123072,851,4399
855857698524602368,1854,10842
855851453814013952,16101,41851
855818117272018944,4804,24241
855459453768019968,7291,27043
855245323840757760,5254,0
855138241867124737,36,0
854732716440526848,5336,20649
854482394044301312,6007,26530
854365224396361728,4138,17169
854120357044912130,6582,29178
854010172552949760,2787,14819
853760880890318849,5107,26033
853639147608842240,8856,31502
853299958564483072,3165,14143
852936405516943360,1783,0
852912242202992640,1597,8239
852672615818899456,1908,13623
852553447878664193,3108,14881
852311364735569921,8858,30296
852226086759018497,6078,18320
852189679701164033,1417,10561
851591660324737024,3123,14932
851464819735769094,6298,22227
851224888060895234,5164,19011
850753642995093505,8064,28105
850380195714523136,2327,12063
850333567704068097,301,3188
850145622816686080,3388,15027
850019790995546112,4360,18760
849776966551130114,6804,27877
849668094696017920,4438,0
849412302885593088,2826,14661
849336543269576704,1686,10547
849051919805034497,7606,38957
848690551926992896,3916,23251
848324959059550208,4144,22807
848213670039564288,644,7535
848212111729840128,2712,15017
847978865427394560,2918,0
847971574464610304,394,0
847962785489326080,4568,21711
847842811428974592,1187,5009
847617282490613760,376,6463
847606175596138505,3079,17337
847251039262605312,3911,18947
847157206088847362,5248,18356
847116187444137987,2872,19853
846874817362120707,3545,18599
846514051647705089,10364,41138
846505985330044928,2756,13054
846153765933735936,8157,29069
846139713627017216,9156,28766
846042936437604353,2582,14794
845812042753855489,7848,26989
845677943972139009,4373,23404
845397057150107648,1620,7081
845306882940190720,4849,21589
845098359547420673,6932,0
844979544864018432,2308,12660
844973813909606400,2846,13915
844580511645339650,2810,15276
844223788422217728,1987,12686
843981021012017153,2699,14095
843856843873095681,4166,19944
843604394117681152,2477,15683
843235543001513987,5396,19946
842846295480000512,3313,14202
842765311967449089,1176,6290
842535590457499648,3173,16900
842163532590374912,5254,22706
842115215311396866,2756,13019
841833993020538882,13552,0
841680585030541313,7148,24020
841439858740625411,3316,11717
841320156043304961,5014,18400
841314665196081154,4231,14734
841077006473256960,4880,21318
840761248237133825,1621,0
840728873075638272,14575,0
840698636975636481,2,163
840696689258311684,889,11476
840632337062862849,1621,8420
840370681858686976,4175,15327
840268004936019968,5208,17886
839990271299457024,2065,12525
839549326359670784,7064,25550
839290600511926273,132,0
839239871831150596,5927,25211
838952994649550848,3660,18345
838921590096166913,1854,10418
838916489579200512,31,0
838831947270979586,10012,0
838561493054533637,1231,10241
838476387338051585,4337,20947
838201503651401729,9170,0
838150277551247360,303,1566
838085839343206401,1,134
838083903487373313,2838,16444
837820167694528512,7143,31806
837482249356513284,406,3605
837471256429613056,2059,11974
837110210464448512,2177,15061
836989968035819520,2111,11940
836753516572119041,4261,18104
836677758902222849,2021,11836
836648853927522308,508,0
836397794269200385,25044,0
836380477523124226,2745,13894
836260088725786625,3977,19938
836001077879255040,3886,17873
835685285446955009,7411,0
835574547218894849,3296,16630
835536468978302976,1540,0
835309094223372289,19136,0
835297930240217089,2736,15425
835264098648616962,1540,7228
835246439529840640,63,1989
835172783151792128,5288,24549
835152434251116546,2755,20930
834931633769889797,1490,10090
834786237630337024,5105,20202
834574053763584002,2307,12804
834477809192075265,9754,0
834458053273591808,1546,9022
834209720923721728,4320,19228
834167344700198914,3360,14818
834089966724603904,1962,9439
834086379323871233,2039,12224
833863086058651648,2210,12607
833826103416520705,3486,17065
833732339549220864,205,0
833722901757046785,2994,19657
833479644947025920,1890,13985
833124694597443584,4438,18976
832998151111966721,2010,12409
832769181346996225,38,0
832757312314028032,3314,15826
832682457690300417,2665,11134
832645525019123713,484,2736
832636094638288896,2558,14875
832397543355072512,2036,11228
832369877331693569,2918,16063
832273440279240704,2144,10642
832215909146226688,5714,0
832215726631055365,8578,0
832088576586297345,2,59
832040443403784192,8810,0
832032802820481025,4296,16757
831939777352105988,5649,22455
831926988323639298,34,319
831911600680497154,5964,25805
831670449226514432,1686,9779
831650051525054464,1783,6675
831552930092285952,2158,8445
831322785565769729,1442,8746
831315979191906304,1036,6169
831309418084069378,2263,11083
831262627380748289,1887,11146
830956169170665475,1374,7503
830583320585068544,15390,62332
830173239259324417,5231,0
830097400375152640,2691,9144
829878982036299777,4594,0
829861396166877184,1792,11505
829501995190984704,9754,29853
829449946868879360,1860,9857
829141528400556032,6759,22878
829011960981237760,15072,50203
828801551087042563,3154,0
828770345708580865,5386,24044
828708714936930305,10303,34200
828650029636317184,1233,8939
828409743546925057,1078,6036
828408677031882754,1183,7242
828381636999917570,2056,11853
828376505180889089,992,6976
828372645993398273,2723,11850
828361771580813312,165,2067
828046555563323392,2651,11038
828011680017821696,1983,9756
827933404142436356,4821,18811
827653905312006145,2789,14559
827600520311402496,864,7053
827324948884643840,2802,14928
827199976799354881,2058,9984
826958653328592898,4594,20283
826848821049180160,9314,33989
826615380357632002,3675,0
826598799820865537,229,4852
826598365270007810,2174,9432
826476773533745153,3888,17339
826240494070030336,2412,12511
826204788643753985,855,4593
826115272272650244,2863,14717
825876512159186944,1735,9911
825829644528148480,2327,11999
825535076884762624,16320,53864
825147591692263424,4172,17225
825120256414846976,1166,0
825026590719483904,1166,5899
824796380199809024,5084,0
824775126675836928,3264,14033
824663926340194305,1639,9928
824325613288833024,9862,11152
824297048279236611,3561,14195
